Item,Indiana,Adams,Allen,Bartholomew,Benton,Blackford,Boone,Brown,Carroll,Cass,Clark,Clay,Clinton,Crawford,Daviess,Dearborn,Decatur,DeKalb,Delaware,Dubois,Elkhart,Fayette,Floyd,Fountain,Franklin,Fulton,Gibson,Grant,Greene,Hamilton,Hancock,Harrison,Hendricks,Henry,Howard,Huntington,Jackson,Jasper,Jay,Jefferson,Jennings,Johnson,Knox,Kosciusko,LaGrange,Lake,LaPorte,Lawrence,Madison,Marion,Marshall,Martin,Miami,Monroe,Montgomery,Morgan,Newton,Noble,Ohio,Orange,Owen,Parke,Perry,Pike,Porter,Posey,Pulaski,Putnam,Randolph,Ripley,Rush,St. Joseph,Scott,Shelby,Spencer,Starke,Steuben,Sullivan,Switzerland,Tippecanoe,Tipton,Union,Vanderburgh,Vermillion,Vigo,Wabash,Warren,Warrick,Washington,Wayne,Wells,White,Whitley
"Turkeys                                                                              farms, 2022",695,8,10,9,3,-,5,3,1,19,12,2,6,7,63,1,1,4,13,53,11,1,13,3,1,4,-,-,24,7,5,6,5,4,1,4,1,8,32,5,-,4,9,5,27,7,5,7,9,-,3,19,6,3,14,15,-,16,-,19,5,15,3,8,-,1,-,1,18,13,-,1,4,-,9,3,6,9,-,16,-,-,-,-,2,7,3,1,25,8,3,9,2
2017,758,19,7,3,9,-,4,-,3,17,5,2,4,4,62,18,3,2,10,61,17,1,-,6,9,5,2,6,19,1,6,9,7,3,2,2,3,5,22,4,7,13,12,6,23,7,13,15,10,12,3,22,-,10,4,1,-,12,1,12,22,17,8,6,4,3,2,21,7,25,-,7,2,11,6,2,-,3,3,10,2,-,-,-,4,6,2,-,18,7,6,6,3
"number, 2022","8,486,069","147,012",122,30,3,-,(D),18,(D),55,183,(D),21,(D),"1,822,545",(D),(D),16,95,"2,013,905",69,(D),66,6,(D),10,-,-,"423,354",36,"1,212",(D),22,44,(D),61,(D),58,"594,467",7,-,24,"266,228",5,"8,396",39,21,(D),39,-,(D),"582,501",22,12,"108,050",110,-,62,-,"445,130",17,137,"137,000","218,000",-,(D),-,(D),"211,064",67,-,(D),8,-,"180,706",9,424,"155,706",-,125,-,-,-,-,(D),(D),46,(D),"973,670","3,814",(D),32,(D)
2017,"7,350,556","88,528",(D),21,20,-,(D),-,24,61,20,(D),(D),(D),"1,776,873",78,15,(D),37,"1,561,085",116,(D),-,14,"1,257",(D),(D),24,"448,127",(D),21,"321,086",59,41,(D),(D),24,51,"581,404",30,25,37,"221,156",48,192,35,37,"68,054",19,54,51,"491,331",-,46,"40,206",(D),-,119,(D),"476,832",60,156,"164,005","138,000",20,(D),(D),205,"115,208",(D),-,52,(D),188,"136,843",(D),-,"58,200",12,88,(D),-,-,-,26,24,(D),-,"507,182",445,170,(D),15
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","1,692",52,14,11,4,9,10,19,11,9,26,13,8,8,18,20,5,27,35,9,113,8,21,7,7,7,9,7,23,43,11,39,37,13,18,14,9,19,14,23,17,31,4,36,110,30,35,34,22,12,25,-,8,40,26,30,5,52,2,8,18,22,7,2,18,7,6,23,6,25,3,19,9,10,9,8,5,4,15,30,27,9,4,3,13,19,12,19,17,14,13,11,8
2017,"1,609",48,16,11,11,3,31,16,20,32,35,7,9,10,15,35,5,16,22,5,58,8,8,14,19,13,9,16,23,32,27,44,42,17,1,9,18,18,29,12,25,17,7,20,82,21,7,20,19,21,15,1,9,23,12,11,6,39,3,16,48,12,9,2,16,15,1,46,6,34,10,17,17,4,11,3,4,13,17,27,9,-,10,10,8,12,15,9,25,13,11,8,29
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","4,402",225,84,22,5,8,27,30,32,25,37,31,26,15,138,30,14,53,50,75,433,11,38,10,35,41,17,22,60,40,33,52,66,42,18,26,27,35,74,47,32,53,24,97,572,39,43,55,35,15,69,26,22,45,52,36,5,101,6,34,47,72,15,10,47,11,9,48,40,49,17,43,19,33,34,10,15,14,24,49,24,8,19,7,23,42,27,26,86,57,21,16,25
2017,"4,337",206,88,34,14,5,58,24,20,39,40,19,40,17,146,42,23,32,28,80,300,8,11,14,55,28,20,50,75,49,36,83,73,20,21,28,40,23,78,44,43,75,35,80,433,21,28,68,29,24,56,31,21,36,40,37,6,109,4,41,64,65,38,12,47,12,9,73,27,58,23,50,24,37,20,16,13,18,19,58,22,6,12,7,18,36,24,36,108,60,29,16,52
