Item,Washington,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
2017,(D),(D),-,65,-,-,532,-,(D),9,-,-,-,(D),(D),-,240,140,160,36,42,124,-,-,-,-,-,295,-,166,-,(D),887,(D),23,300,-,(D),-,-
"Broilers and other meat-type chickens sold                farms, 2022",395,-,-,5,1,4,43,2,8,-,2,6,-,-,4,9,3,22,42,3,6,32,1,2,7,4,3,17,4,13,1,26,14,20,27,-,6,36,3,19
2017,377,1,-,8,-,1,30,-,8,-,1,4,1,-,7,8,2,38,17,6,8,41,1,7,12,6,3,22,6,6,1,16,30,9,29,2,7,17,3,19
"number, 2022","25,904,999",-,-,90,(D),132,"1,266,887",(D),242,-,(D),587,-,-,195,"2,581","7,000","1,610","2,009",60,252,"15,520,356",(D),(D),297,470,140,"6,326",556,(D),(D),(D),"1,065",830,(D),-,765,"3,122,377",(D),422
2017,"27,101,183",(D),-,(D),-,(D),"1,863,367",-,(D),-,(D),111,(D),-,(D),475,(D),"2,669","3,003",130,618,"16,574,130",(D),240,"1,139",341,646,"1,496",832,(D),(D),(D),"1,086",690,(D),(D),148,(D),"1,410",556
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",353,-,-,5,1,4,38,2,8,-,2,6,-,-,4,9,1,22,42,3,6,13,1,2,7,4,3,16,4,12,1,23,14,20,24,-,6,28,3,19
"2,000 to 59,999.....................................................................",10,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,1,-,-,3,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",6,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",8,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-
"500,000 or more....................................................................",18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,1,-,1,-,-,2,-,-,1,-,-
"Turkeys sold                                                                      farms, 2022",241,1,-,9,-,2,28,-,7,4,3,3,-,-,3,-,2,14,21,5,4,16,-,8,-,2,2,17,-,8,-,31,15,4,10,-,1,8,2,11
2017,326,6,-,17,3,5,20,2,5,2,3,1,-,1,2,9,13,28,12,3,2,11,-,2,7,3,2,25,1,10,1,28,23,11,24,-,5,11,4,24
"number, 2022","5,457",(D),-,24,-,(D),179,-,28,106,203,(D),-,-,(D),-,(D),663,253,72,41,978,-,177,-,(D),(D),609,-,352,-,232,141,16,242,-,(D),329,(D),60
2017,"5,902",(D),-,435,9,66,176,(D),50,(D),21,(D),-,(D),(D),27,435,634,239,81,(D),71,-,(D),50,39,(D),331,(D),313,(D),542,322,50,358,-,14,801,46,228
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",492,1,1,14,2,5,30,-,7,2,3,5,-,4,8,4,2,37,22,4,5,33,5,19,14,2,2,55,4,19,-,40,54,5,24,1,7,28,7,17
2017,522,2,1,12,-,16,47,-,5,4,-,3,-,5,16,6,12,22,35,26,13,40,4,2,5,4,2,38,3,13,-,35,49,16,30,2,2,20,8,24
