Item,New Mexico,Bernalillo,Catron,Chaves,Cibola,Colfax,Curry,De Baca,Dona Ana,Eddy,Grant,Guadalupe,Harding,Hidalgo,Lea,Lincoln,Los Alamos,Luna,McKinley,Mora,Otero,Quay,Rio Arriba,Roosevelt,Sandoval,San Juan,San Miguel,Santa Fe,Sierra,Socorro,Taos,Torrance,Union,Valencia
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",81,8,-,4,1,-,-,1,9,4,-,-,-,-,-,-,-,1,-,-,-,2,3,1,7,21,-,10,2,5,-,-,-,2
2017,82,6,-,-,6,-,5,-,10,3,-,-,-,-,-,-,-,-,6,-,1,3,8,1,7,7,2,7,-,3,4,-,-,3
"number, 2022","20,325",128,-,(D),(D),-,-,(D),179,37,-,-,-,-,-,-,-,(D),-,-,-,(D),(D),(D),47,238,-,96,(D),90,-,-,-,(D)
2017,"11,064",128,-,-,54,-,5,-,34,63,-,-,-,-,-,-,-,-,18,-,(D),35,(D),(D),33,109,(D),32,-,(D),8,-,-,18
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",109,13,1,5,4,2,3,-,9,2,10,-,-,-,1,1,-,-,3,-,1,-,6,4,7,21,2,5,-,-,-,3,-,6
2017,145,16,-,2,12,2,9,-,8,5,3,-,-,-,-,3,1,4,3,-,3,5,11,3,3,10,5,13,7,5,5,2,-,5
