"","GID_2","value"
"331","USA.11.41_1",37
"332","USA.11.42_1",47
"333","USA.11.43_1",14
"334","USA.11.44_1",0
"335","USA.11.45_1",73
"336","USA.11.46_1",11
"337","USA.11.47_1",3
"338","USA.11.48_1",12
"339","USA.11.49_1",10
"340","USA.11.50_1",8
"341","USA.11.51_1",59
"342","USA.11.52_1",122
"343","USA.11.53_1",39
"344","USA.11.54_1",24
"345","USA.11.55_1",28
"346","USA.11.56_1",39
"347","USA.11.57_1",79
"348","USA.11.58_1",57
"349","USA.11.59_1",211
"350","USA.11.60_1",52
"351","USA.11.61_1",126
"352","USA.11.62_1",9
"353","USA.11.63_1",29
"354","USA.11.64_1",160
"355","USA.11.65_1",50
"356","USA.11.66_1",27
"357","USA.11.67_1",22
"358","USA.11.68_1",85
"359","USA.11.69_1",132
"360","USA.11.70_1",21
"361","USA.11.71_1",75
"362","USA.11.72_1",34
"363","USA.11.73_1",181
"364","USA.11.74_1",38
"365","USA.11.75_1",44
"366","USA.11.76_1",43
"367","USA.11.77_1",15
"368","USA.11.78_1",142
"369","USA.11.79_1",62
"370","USA.11.80_1",0
"371","USA.11.81_1",24
"372","USA.11.82_1",23
"373","USA.11.83_1",28
"374","USA.11.84_1",25
"375","USA.11.85_1",48
"376","USA.11.86_1",18
"377","USA.11.87_1",97
"378","USA.11.88_1",10
"379","USA.11.89_1",16
"380","USA.11.90_1",25
"381","USA.11.91_1",17
"382","USA.11.92_1",49
"383","USA.11.93_1",76
"384","USA.11.94_1",49
"385","USA.11.95_1",186
"386","USA.11.96_1",34
"387","USA.11.97_1",49
"388","USA.11.98_1",11
"389","USA.11.99_1",52
"390","USA.11.100_1",8
"391","USA.11.101_1",44
"392","USA.11.102_1",46
"393","USA.11.103_1",20
"394","USA.11.104_1",71
"395","USA.11.105_1",59
"396","USA.11.106_1",2
"397","USA.11.107_1",55
"398","USA.11.108_1",43
"399","USA.11.109_1",111
"400","USA.11.110_1",65
"401","USA.11.111_1",42
"402","USA.11.112_1",51
"403","USA.11.113_1",43
"404","USA.11.114_1",47
"405","USA.11.115_1",75
"406","USA.11.116_1",9
"407","USA.11.117_1",28
"408","USA.11.118_1",5
"409","USA.11.119_1",18
"410","USA.11.120_1",0
"411","USA.11.121_1",30
"412","USA.11.122_1",18
"413","USA.11.123_1",9
"414","USA.11.124_1",32
"415","USA.11.125_1",5
"416","USA.11.126_1",28
"417","USA.11.127_1",49
"418","USA.11.128_1",6
"419","USA.11.129_1",23
"420","USA.11.130_1",1
"421","USA.11.131_1",8
"422","USA.11.132_1",119
"423","USA.11.133_1",32
"424","USA.11.134_1",14
"425","USA.11.135_1",10
"426","USA.11.136_1",38
"427","USA.11.137_1",15
"428","USA.11.138_1",41
"429","USA.11.139_1",23
"430","USA.11.140_1",32
"431","USA.11.141_1",47
"432","USA.11.142_1",6
"433","USA.11.143_1",15
"434","USA.11.144_1",58
"435","USA.11.145_1",28
"436","USA.11.146_1",146
"437","USA.11.147_1",72
"438","USA.11.148_1",28
"439","USA.11.149_1",9
"440","USA.11.150_1",33
"441","USA.11.151_1",54
"442","USA.11.152_1",1
"443","USA.11.153_1",5
"444","USA.11.154_1",87
"445","USA.11.155_1",64
"446","USA.11.156_1",22
"447","USA.11.157_1",50
"448","USA.11.158_1",20
"449","USA.11.159_1",30
"450","USA.13.1_1",267
"451","USA.13.2_1",18
"452","USA.13.3_1",223
"453","USA.13.4_1",39
"454","USA.13.5_1",41
"455","USA.13.6_1",147
"456","USA.13.7_1",22
"457","USA.13.8_1",26
"458","USA.13.9_1",256
"459","USA.13.10_1",145
"460","USA.13.11_1",55
"461","USA.13.12_1",12
"462","USA.13.13_1",12
"463","USA.13.14_1",524
"464","USA.13.15_1",46
"465","USA.13.16_1",34
"466","USA.13.17_1",3
"467","USA.13.18_1",34
